			
valor do resgate	/<span class="ipa dipa">ˈræn·səm</span>/	[sound:cambridge-ransom.mp3]	the money that is demanded for the return of someone who is being kept as a prisoner
dispor de pouco tempo,dinheiro,espaço,etc.		[sound:cambridge-uscld01124.mp3]	to be in a difficult situation because you do not have enough time, money, space, etc.
			
			
judeu,judia	/<span class="ipa dipa">dʒu</span>/	[sound:cambridge-jew.mp3]	someone whose religion is Judaism, or who is related to the ancient people of Israel
decidido,empenhado,intenção	/<span class="ipa dipa">ɪnˈtent</span>/	[sound:cambridge-intent.mp3]	giving a lot of attention to something
enlutado,aflito	/<span class="ipa dipa">ˈɡriː.vɪŋ</span>/	[sound:cambridge-uscld2s051.mp3]	feeling very sad because someone has died
com boa vontade,de bom grado	/<span class="ipa dipa">ˈɡlæd·li</span>/	[sound:cambridge-gladly.mp3]	If you would gladly do something, you would like to do it.
			
jogar,lançar,arrojar	/<span class="ipa dipa">flɪŋ</span>/	[sound:cambridge-fling.mp3]	to suddenly throw something
eliminar,erradicar		[sound:cambridge-eus75660.mp3]	to remove or take away someone or something
distúrbio,desordem	/<span class="ipa dipa">dɪsˈɔr·dər</span>/	[sound:cambridge-disorder.mp3]	a disease or mental problem
			
cocaína	/<span class="ipa dipa">koʊ-</span>/	[sound:cambridge-cocaine.mp3]	a drug used in medicine to prevent pain and also used illegally, often in the form of a white powder that is breathed in through the nose
chanceler,reitor,-ora	/<span class="ipa dipa">ˈtʃæn.s<span class="sp dsp">ə</span>l.ɚ</span>/	[sound:cambridge-chancellor.mp3]	a person in a position of the highest or high rank, especially in a government or university
cereal matinal,cereal	/<span class="ipa dipa">ˈsɪər·i·əl</span>/	[sound:cambridge-cereal.mp3]	a food that is made from grain and eaten with milk, especially in the morning
			
			
			
			
técnica	/<span class="ipa dipa">tekˈnik</span>/	[sound:cambridge-technique.mp3]	a particular way of doing something
metrô,passagem subterrânea	/<span class="ipa dipa">ˈsʌbˌweɪ</span>/	[sound:cambridge-subway.mp3]	a system of trains that is built under a city
tensão,peso,esforço,pressão,esforçar-se ao máximo,distender	/<span class="ipa dipa">streɪn</span>/	[sound:cambridge-strain.mp3]	the feeling of being worried and nervous about something
			
			
criado,servente,empregado,serviçal	/<span class="ipa dipa">ˈsɜr·vənt</span>/	[sound:cambridge-servant.mp3]	someone who works and lives in someone else’s house, especially in the past
			
residente,morador,-ora	/<span class="ipa dipa">ˈrez·ɪ·dənt</span>/	[sound:cambridge-resident.mp3]	someone who lives in a particular place
republicano,-a		[sound:cambridge-republican.mp3]	a supporter of government by elected representatives of the people rather than government by a king or queen
ortografia americana de “paralysed”	/<span class="ipa dipa">ˈper.<span class="sp dsp">ə</span>l.aɪzd</span>/	[sound:cambridge-cdo0318uspara3548.mp3]	US spelling of  paralysed 
orbe	/<span class="ipa dipa">ɔːrb</span>/	[sound:cambridge-usopera024.mp3]	something in the shape of a ball
			
			
			
			
			
idiota,palerma,chupeta	/<span class="ipa dipa">ˈdʌm·i</span>/	[sound:cambridge-dummy.mp3]	a stupid person
disciplina,castigar	/<span class="ipa dipa">ˈdɪs·ə·plən</span>/,/<span class="ipa dipa">ˈdɪs·ə·plɪn</span>/	[sound:cambridge-discipline.mp3]	the action of controlling people’s behaviour using rules and punishments
desprezar	/<span class="ipa dipa">dɪˈspɑɪz</span>/	[sound:cambridge-despise.mp3]	to hate someone or something and have no respect for them or it
dental	/<span class="ipa dipa">ˈden·t̬<span class="sp dsp">ə</span>l</span>/	[sound:cambridge-dental.mp3]	relating to the teeth
corporação	/<span class="ipa dipa">ˌkɔr·pəˈreɪ·ʃən</span>/	[sound:cambridge-corporation.mp3]	a large company or group of companies
			
amar,,valorizar,guardar		[sound:cambridge-cherish.mp3]	to love, protect, and care for someone or something that is important to you
			
briefing,instruções		[sound:cambridge-briefing.mp3]	information that is given to someone just before they do something, or a meeting where this happens
blefar		[sound:cambridge-bluff.mp3]	to deceive someone by making them think either that you are going to do something when you really have no intention of doing it, or that you have knowledge that you do not really have, or that you are someone else
			
clima,ambiente,a atmosfera	/<span class="ipa dipa">ˈæt·məsˌfɪər</span>/	[sound:cambridge-atmosphere.mp3]	the feeling that exists in a place or situation
			
			
			
			
			
			
rifle,fuçar,remexer	/<span class="ipa dipa">ˈrɑɪ·fəl</span>/	[sound:cambridge-eus73992.mp3]	a long gun that you hold against your shoulder when you shoot
presumir,conjecturar,supor	/<span class="ipa dipa">prɪˈzum</span>/	[sound:cambridge-presume.mp3]	to think that something is probably true, although you are not certain
			
			
			
caligrafia,letra	/<span class="ipa dipa">ˈhændˌrɑɪ·t̬ɪŋ</span>/	[sound:cambridge-handwriting.mp3]	the way that someone forms letters when they write with a pen or pencil
			
gim	/<span class="ipa dipa">dʒɪn</span>/	[sound:cambridge-gin.mp3]	a strong alcoholic drink that has no colour
vendaval,ventania	/<span class="ipa dipa">ɡeɪl</span>/	[sound:cambridge-gale.mp3]	a very strong wind
			
			
passado e particípio passado de “dry”	/<span class="ipa dipa">drɑɪd</span>/	[sound:cambridge-dried.mp3]	past tense and past participle of dry
cabo,capa		[sound:cambridge-cape.mp3]	a very large piece of land sticking out into the sea
			
			
admitir,reconhecer,confirmar (recebimento de)	/<span class="ipa dipa">əkˈnɑ·lɪdʒ</span>/	[sound:cambridge-acknowledge.mp3]	to accept that something is true or exists
			
pregado,acabado,quebrado	/<span class="ipa dipa">wækt</span>/	[sound:cambridge-uswellw018.mp3]	very tired
tóxico	/<span class="ipa dipa">ˈtɑk·sɪk</span>/	[sound:cambridge-toxic.mp3]	poisonous
			
