mum	, ,mamã,​,·mamãe,​,, ,caxumba,​,, ,murmurar,​,·murmurar algo,​,·resmungar,​,, ,múmia,​,·mamãe,​,, ,mamã,​,
motion	, ,movimento,​,·moção,​,·resolução,​,·proposta,​,, ,filme cinematográfico,​,, ,movimentos, m ​,·propostas, f ​,·resoluções, f ​,, ,amplitude de movimento,​,·variedade de movimentos,​,·arco de movimento,​,·alcance de movimento,​,


desert	, ,deserto,​,, ,desertar,​,·abandonar,​,, ,desértico,​,, ,deserto,​,·desertificada,​,·vazia,​,
collection	, ,recolha,​,·coleção,​,·coleta,​,·cobrança,​,, ,recolha de dados,​,·coleta de dados,​,·levantamento de dados,​,·colheita de dados,​,, ,coleções, f ​,·cobranças, f ​,·acervos, m ​,·recolhas, f ​,, ,cobrança de impostos,​,·arrecadação de impostos,​,·recolhimento de tributos,​,·cobrança fiscal,​,

incident	, ,incidente,​,·acidente,​,·acontecimento,​,·fato,​,, ,incidental,​,·incidentais,​,·adicionais,​,, ,incidente,​,
failure	, ,falha,​,·falhas, f ​,·fracasso,​,, ,insuficiência cardíaca,​,·falência cardíaca,​,·paragem cardíaca,​,·falha cardíaca,​,, ,falhas, f ​,·fracassos, m ​,·erros, m ​,, ,insuficiência cardíaca congestiva,​,·falência cardíaca congestiva,​,
satisfied	, ,satisfeito, ​,·contente,​,·confiante,​,·preenchido,​,, ,clientes satisfeitos, m ​,·consumidores satisfeitos, m ​,, ,cliente satisfeito,​,·consumidor satisfeito,​,, ,clientes satisfeitos, m ​,
imagination	, ,imaginação,​,·imaginário,​,·fantasia,​,·criatividade,​,, ,imaginações, f ​,, ,imaginação brilhante,​,, ,imaginação fértil,​,
hooked	, ,viciado, ​,·engatados,​,·enganchado,​,·ligado,​,, ,conectados,​,
headache	, ,dor de cabeça,​,·cefaléia,​,·cefaleia,​,, ,dor de cabeça forte,​,
forgetting	
counselor	, ,conselheiro,​,·conselheira,​,·consultor,​,, ,orientador,​,·orientador escolar,​,, ,orientador educacional,​,, ,orientador escolar,​,·orientador da escola,​,, ,consultor de crédito,​,

acted	, ,atuado,​,·agido,​,·actuado, ​,·representada,​,
opposite	, ,oposto,​,·contrário,​,·inverso,​,, ,oposto,​,·contrário,​,·opostas,​,·diferente,​,, ,lado oposto,​,·extremo oposto,​,·lado contrário,​,·face oposta,​,, ,sentido contrário,​,·direção oposta,​,·sentido oposto,​,·sentido inverso,​,, ,extremo oposto,​,
highest	, ,mais alto,​,·máximo,​,·mais elevadas,​,, ,alta qualidade,​,·mais alta qualidade,​,·máxima qualidade,​,·elevada qualidade,​,, ,oferta mais elevada,​,·proposta mais elevada,​,·melhor oferta,​,·maior lance,​,, ,maior prioridade,​,·máxima prioridade,​,·mais alta prioridade,​,·principal prioridade,​,
gross	, ,bruto,​,·grave,​,·grosso,​,·grosseiro,​,·nojento,​,, ,negligência grave,​,·negligência grosseira,​,·grave negligência,​,·culpa grave,​,, ,lucro bruto,​,·receita bruta,​,
